"Primary activities","Average hours per day spent"
"Personal care activities",9.91
"Eating and drinking",1.22
"Household activities",0.91
"Purchasing goods and services",0.56
"Caring for and helping household members",0.05
"Caring for and helping nonhousehold members",0.08
"Working and workrelated activities",4.18
"Educational activities",1.09
"Organizational, civic, and religious activities",–
"Leisure and sports",5.75
"Telephone calls, mail, and e-mail",0.04
"Other activities, not elsewhere classified",0.17
