"Primary activities","Average hours per day spent"
"Personal care activities",9.68
"Eating and drinking",1.16
"Household activities",2.41
"Purchasing goods and services",0.81
"Caring for and helping household members",0.2
"Caring for and helping nonhousehold members",0.42
"Working and workrelated activities",3.14
"Educational activities",–
"Organizational, civic, and religious activities",0.41
"Leisure and sports",5.29
"Telephone calls, mail, and e-mail",0.19
"Other activities, not elsewhere classified",0.27
