Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.42
"– Sleeping",8.66
"Eating and drinking",1.17
"Household activities",1.74
"– Housework",0.56
"– Food preparation and cleanup",0.68
"– Lawn and garden care",0.13
"– Household management",0.12
"Purchasing goods and services",0.83
"– Consumer goods purchases",0.4
"– Professional and personal care services",0.07
"Caring for and helping household members",0.83
"– Caring for and helping household children",0.58
"Caring for and helping nonhousehold members",0.11
"– Caring for and helping nonhousehold adults",0.05
"Working and work-related activities",4.66
"– Working",4.2
"Educational activities",0.36
"– Attending class",0.15
"– Homework and research",0.18
"Organizational, civic, and religious activities",0.33
"– Religious and spiritual activities",0.14
"– Volunteering (organizational and civic activities)",0.14
"Leisure and sports",4.17
"– Socializing and communicating",0.62
"– Watching television",2.16
"– Participating in sports, exercise, and recreation",0.25
"Telephone calls, mail, and e-mail",0.12
"Other activities, not elsewhere classified",0.26
