"Primary activities","Average hours per day spent"
"Personal care activities",10.25
"Eating and drinking",1.04
"Household activities",1.12
"Purchasing goods and services",0.89
"Caring for and helping household members",0.3
"Caring for and helping nonhousehold members",–
"Working and workrelated activities",4.15
"Educational activities",1.38
"Organizational, civic, and religious activities",0.14
"Leisure and sports",4.07
"Telephone calls, mail, and e-mail",0.17
"Other activities, not elsewhere classified",0.27
