"Primary activities","Average hours per day spent"
"Personal care activities",9.61
"Eating and drinking",1.14
"Household activities",1.52
"Purchasing goods and services",0.59
"Caring for and helping household members",1
"Caring for and helping nonhousehold members",0.11
"Working and workrelated activities",4.85
"Educational activities",0.36
"Organizational, civic, and religious activities",0.19
"Leisure and sports",4.28
"Telephone calls, mail, and e-mail",0.1
"Other activities, not elsewhere classified",0.25
